ABF4 NCED3 0.796
ABF4 NAC096 0.993
ABF4 DREB1A 0.956
ABF4 SDIR1 0.68
ABF4 DRIP1 0.433
ABF4 ABI5 0.435
ABF4 DREB1C 0.454
ABF4 WRKY40 0.54
ABI1 ABI2 0.632
ABI1 PXG3 0.6
ABI1 GPX6 0.441
ABI1 PYR1 0.999
ABI1 CBL4 0.787
ABI1 DREB2A 0.805
ABI1 CAM1 0.674
ABI1 CAM2 0.66
ABI1 CML10 0.679
ABI1 COR47 0.735
ABI1 ERD10 0.584
ABI1 ATHB-6 0.93
ABI1 ATHB-7 0.572
ABI1 AP2 0.775
ABI1 SDIR1 0.4
ABI1 HDA6 0.402
ABI1 APX3 0.413
ABI1 NHX7 0.433
ABI1 DREB1C 0.433
ABI1 SAG113 0.467
ABI1 WRKY40 0.477
ABI1 DPBF3 0.485
ABI1 WRKY18 0.493
ABI1 HSP70-4 0.519
ABI1 MYB96 0.523
ABI1 NAC019 0.529
ABI1 SCRM 0.541
ABI1 EM1 0.557
ABI1 ACT7 0.578
ABI1 NAC002 0.587
ABI1 WRKY63 0.599
ABI1 ACT2 0.627
ABI1 P5CSA 0.653
ABI1 MYB44 0.664
ABI1 CAM7 0.664
ABI1 EM6 0.67
ABI1 KEG 0.674
ABI1 CP1 0.675
ABI1 CAM6 0.675
ABI1 Atmyb2 0.704
ABI1 DREB1A 0.729
ABI1 COR15A 0.729
ABI1 MYC2 0.749
ABI1 NAC072 0.797
ABI1 RD22 0.8
ABI1 NCED3 0.851
ABI1 BZIP8 0.893
ABI1 LTI65 0.895
ABI1 RD29A 0.897
ABI1 ABI3 0.898
ABI1 CIPK24 0.902
ABI1 ZEP 0.935
ABI1 ABI5 0.94
ABI1 SRK2I 0.997
ABI1 SRK2D 0.998
ABI1 SRK2E 0.999
ABI2 AIP1 0.418
ABI2 PP2CA 0.421
ABI2 SAG113 0.429
ABI2 HDA6 0.44
ABI2 GPX6 0.448
ABI2 HAB1 0.455
ABI2 NAC019 0.463
ABI2 WRKY63 0.471
ABI2 ACT7 0.472
ABI2 HSP70-4 0.472
ABI2 NAC002 0.49
ABI2 PXG3 0.506
ABI2 ACT2 0.522
ABI2 KEG 0.534
ABI2 MYB44 0.541
ABI2 P5CSA 0.552
ABI2 ATHB-6 0.573
ABI2 NHX7 0.574
ABI2 COR47 0.576
ABI2 EM1 0.606
ABI2 EM6 0.607
ABI2 Atmyb2 0.608
ABI2 COR15A 0.624
ABI2 CAM2 0.627
ABI2 CAM1 0.627
ABI2 ATHB-7 0.641
ABI2 DREB1A 0.655
ABI2 CAM7 0.656
ABI2 CAM6 0.66
ABI2 CML10 0.662
ABI2 CP1 0.663
ABI2 MYC2 0.718
ABI2 NAC072 0.727
ABI2 AP2 0.738
ABI2 RD22 0.748
ABI2 CBL4 0.771
ABI2 DREB2A 0.774
ABI2 RD29A 0.809
ABI2 LTI65 0.818
ABI2 NCED3 0.829
ABI2 BZIP8 0.867
ABI2 ZEP 0.883
ABI2 ABI3 0.892
ABI2 ABI5 0.906
ABI2 CIPK24 0.983
ABI2 SRK2I 0.992
ABI2 SRK2D 0.994
ABI2 PYR1 0.999
ABI2 SRK2E 0.999
ABI3 PYR1 0.783
ABI3 DREB2A 0.6
ABI3 COR47 0.4
ABI3 PP2CA 0.719
ABI3 ACT7 0.54
ABI3 DRIP1 0.4
ABI3 WRKY18 0.433
ABI3 DREB1A 0.438
ABI3 COR15A 0.457
ABI3 WRKY40 0.483
ABI3 MYC2 0.54
ABI3 RHA2A 0.541
ABI3 ACT2 0.598
ABI3 SDIR1 0.63
ABI3 HDA6 0.639
ABI3 RD22 0.651
ABI3 MYB96 0.718
ABI3 KEG 0.784
ABI3 NCED3 0.79
ABI3 HSFA9 0.794
